object_count,Timestamp,Coordinates,TimeDifference,timestamp,date,ClosestMatch
1,2024-02-10T14:59:22.930Z,"[52.4952526, 13.4444002, 17.613, 2.487, 2.46]",1.595,1.6101694915254237,2024-03-16,1.595
2,2024-02-10T14:59:23.590Z,"[52.4952622, 13.4443702, 18.045, 2.612, 2.72]",2.255,2.23728813559322,2024-03-16,2.255
3,2024-02-10T14:59:25.735Z,"[52.4953044, 13.4442827, 18.276, 3.263, 3.32]",4.4,4.406779661016949,2024-03-16,4.4
4,2024-02-10T14:59:26.230Z,"[52.495318, 13.4442648, 18.725, 3.398, 3.48]",4.895,4.88135593220339,2024-03-16,4.895
5,2024-02-10T14:59:27.910Z,"[52.4953407, 13.4441797, 19.003, 3.604, 3.56]",6.575,6.593220338983051,2024-03-16,6.575
6,2024-02-10T14:59:28.650Z,"[52.4953487, 13.4441359, 18.203, 4.194, 4.18]",7.315,7.322033898305085,2024-03-16,7.315
7,2024-02-10T14:59:29.417Z,"[52.4953677, 13.4440986, 17.84, 4.086, 4.11]",8.082,8.067796610169491,2024-03-16,8.082
8,2024-02-10T14:59:30.575Z,"[52.4953942, 13.4440382, 17.717, 4.01, 4.07]",9.24,9.23728813559322,2024-03-16,9.24
9,2024-02-10T14:59:31.895Z,"[52.4954139, 13.4439636, 18.101, 3.873, 3.93]",10.56,10.542372881355933,2024-03-16,10.56
